week_code,cases,date,year,month,week_of_year,quarter
2012-W01,74,2012-01-02,2012.0,1.0,1,1.0
2012-W02,66,2012-01-09,2012.0,1.0,2,1.0
2012-W03,61,2012-01-16,2012.0,1.0,3,1.0
2012-W04,52,2012-01-23,2012.0,1.0,4,1.0
2012-W05,85,2012-01-30,2012.0,1.0,5,1.0
2012-W06,87,2012-02-06,2012.0,2.0,6,1.0
2012-W07,65,2012-02-13,2012.0,2.0,7,1.0
2012-W08,51,2012-02-20,2012.0,2.0,8,1.0
2012-W09,55,2012-02-27,2012.0,2.0,9,1.0
2012-W10,46,2012-03-05,2012.0,3.0,10,1.0
2012-W11,64,2012-03-12,2012.0,3.0,11,1.0
2012-W12,73,2012-03-19,2012.0,3.0,12,1.0
2012-W13,48,2012-03-26,2012.0,3.0,13,1.0
2012-W14,52,2012-04-02,2012.0,4.0,14,2.0
2012-W15,82,2012-04-09,2012.0,4.0,15,2.0
2012-W16,77,2012-04-16,2012.0,4.0,16,2.0
2012-W17,64,2012-04-23,2012.0,4.0,17,2.0
2012-W18,88,2012-04-30,2012.0,4.0,18,2.0
2012-W19,97,2012-05-07,2012.0,5.0,19,2.0
2012-W20,80,2012-05-14,2012.0,5.0,20,2.0
2012-W21,80,2012-05-21,2012.0,5.0,21,2.0
2012-W22,81,2012-05-28,2012.0,5.0,22,2.0
2012-W23,100,2012-06-04,2012.0,6.0,23,2.0
2012-W24,88,2012-06-11,2012.0,6.0,24,2.0
2012-W25,129,2012-06-18,2012.0,6.0,25,2.0
2012-W26,151,2012-06-25,2012.0,6.0,26,2.0
2012-W27,140,2012-07-02,2012.0,7.0,27,3.0
2012-W28,132,2012-07-09,2012.0,7.0,28,3.0
2012-W29,125,2012-07-16,2012.0,7.0,29,3.0
2012-W30,110,2012-07-23,2012.0,7.0,30,3.0
2012-W31,94,2012-07-30,2012.0,7.0,31,3.0
2012-W32,127,2012-08-06,2012.0,8.0,32,3.0
2012-W33,115,2012-08-13,2012.0,8.0,33,3.0
2012-W34,92,2012-08-20,2012.0,8.0,34,3.0
2012-W35,102,2012-08-27,2012.0,8.0,35,3.0
2012-W36,76,2012-09-03,2012.0,9.0,36,3.0
2012-W37,74,2012-09-10,2012.0,9.0,37,3.0
2012-W38,72,2012-09-17,2012.0,9.0,38,3.0
2012-W39,100,2012-09-24,2012.0,9.0,39,3.0
2012-W40,104,2012-10-01,2012.0,10.0,40,4.0
2012-W41,123,2012-10-08,2012.0,10.0,41,4.0
2012-W42,105,2012-10-15,2012.0,10.0,42,4.0
2012-W43,84,2012-10-22,2012.0,10.0,43,4.0
2012-W44,104,2012-10-29,2012.0,10.0,44,4.0
2012-W45,100,2012-11-05,2012.0,11.0,45,4.0
2012-W46,88,2012-11-12,2012.0,11.0,46,4.0
2012-W47,100,2012-11-19,2012.0,11.0,47,4.0
2012-W48,80,2012-11-26,2012.0,11.0,48,4.0
2012-W49,78,2012-12-03,2012.0,12.0,49,4.0
2012-W50,105,2012-12-10,2012.0,12.0,50,4.0
2012-W51,94,2012-12-17,2012.0,12.0,51,4.0
2012-W52,112,2012-12-24,2012.0,12.0,52,4.0
2013-W01,134,2012-12-31,2012.0,12.0,1,4.0
2013-W02,205,2013-01-07,2013.0,1.0,2,1.0
2013-W03,219,2013-01-14,2013.0,1.0,3,1.0
2013-W04,267,2013-01-21,2013.0,1.0,4,1.0
2013-W05,293,2013-01-28,2013.0,1.0,5,1.0
2013-W06,322,2013-02-04,2013.0,2.0,6,1.0
2013-W07,247,2013-02-11,2013.0,2.0,7,1.0
2013-W08,296,2013-02-18,2013.0,2.0,8,1.0
2013-W09,249,2013-02-25,2013.0,2.0,9,1.0
2013-W10,273,2013-03-04,2013.0,3.0,10,1.0
2013-W11,308,2013-03-11,2013.0,3.0,11,1.0
2013-W12,307,2013-03-18,2013.0,3.0,12,1.0
2013-W13,316,2013-03-25,2013.0,3.0,13,1.0
2013-W14,406,2013-04-01,2013.0,4.0,14,2.0
2013-W15,492,2013-04-08,2013.0,4.0,15,2.0
2013-W16,509,2013-04-15,2013.0,4.0,16,2.0
2013-W17,538,2013-04-22,2013.0,4.0,17,2.0
2013-W18,547,2013-04-29,2013.0,4.0,18,2.0
2013-W19,558,2013-05-06,2013.0,5.0,19,2.0
2013-W20,611,2013-05-13,2013.0,5.0,20,2.0
2013-W21,640,2013-05-20,2013.0,5.0,21,2.0
2013-W22,746,2013-05-27,2013.0,5.0,22,2.0
2013-W23,814,2013-06-03,2013.0,6.0,23,2.0
2013-W24,809,2013-06-10,2013.0,6.0,24,2.0
2013-W25,842,2013-06-17,2013.0,6.0,25,2.0
2013-W26,806,2013-06-24,2013.0,6.0,26,2.0
2013-W27,678,2013-07-01,2013.0,7.0,27,3.0
2013-W28,541,2013-07-08,2013.0,7.0,28,3.0
2013-W29,390,2013-07-15,2013.0,7.0,29,3.0
2013-W30,306,2013-07-22,2013.0,7.0,30,3.0
2013-W31,289,2013-07-29,2013.0,7.0,31,3.0
2013-W32,256,2013-08-05,2013.0,8.0,32,3.0
2013-W33,378,2013-08-12,2013.0,8.0,33,3.0
2013-W34,341,2013-08-19,2013.0,8.0,34,3.0
2013-W35,386,2013-08-26,2013.0,8.0,35,3.0
2013-W36,452,2013-09-02,2013.0,9.0,36,3.0
2013-W37,339,2013-09-09,2013.0,9.0,37,3.0
2013-W38,376,2013-09-16,2013.0,9.0,38,3.0
2013-W39,406,2013-09-23,2013.0,9.0,39,3.0
2013-W40,441,2013-09-30,2013.0,9.0,40,3.0
2013-W41,438,2013-10-07,2013.0,10.0,41,4.0
2013-W42,374,2013-10-14,2013.0,10.0,42,4.0
2013-W43,495,2013-10-21,2013.0,10.0,43,4.0
2013-W44,458,2013-10-28,2013.0,10.0,44,4.0
2013-W45,402,2013-11-04,2013.0,11.0,45,4.0
2013-W46,444,2013-11-11,2013.0,11.0,46,4.0
2013-W47,365,2013-11-18,2013.0,11.0,47,4.0
2013-W48,372,2013-11-25,2013.0,11.0,48,4.0
2013-W49,347,2013-12-02,2013.0,12.0,49,4.0
2013-W50,381,2013-12-09,2013.0,12.0,50,4.0
2013-W51,371,2013-12-16,2013.0,12.0,51,4.0
2013-W52,414,2013-12-23,2013.0,12.0,52,4.0
