month,cases,rainfall,temperature,year,month_num,quarter,cases_lag_1,cases_lag_2,cases_lag_3,cases_rolling_3,rainfall_lag_1,temp_lag_1,temp_rain_product
2012-04-01,363,260.6,24.8,2012,4,2,231.0,258.0,338.0,275.6666666666667,313.4,24.4,7646.959999999999
2012-05-01,338,292.0,24.8,2012,5,2,363.0,231.0,258.0,284.0,260.6,24.8,6462.880000000001
2012-06-01,468,53.0,26.3,2012,6,2,338.0,363.0,231.0,310.6666666666667,292.0,24.8,7241.6
2012-07-01,601,130.8,25.3,2012,7,3,468.0,338.0,363.0,389.6666666666667,53.0,26.3,1393.9
2012-08-01,436,119.0,25.4,2012,8,3,601.0,468.0,338.0,469.0,130.8,25.3,3309.2400000000002
2012-09-01,322,107.6,25.3,2012,9,3,436.0,601.0,468.0,501.6666666666667,119.0,25.4,3022.6
2012-10-01,520,122.2,25.2,2012,10,4,322.0,436.0,601.0,453.0,107.6,25.3,2722.2799999999997
2012-11-01,368,208.2,24.7,2012,11,4,520.0,322.0,436.0,426.0,122.2,25.2,3079.44
2012-12-01,523,363.4,24.4,2012,12,4,368.0,520.0,322.0,403.3333333333333,208.2,24.7,5142.54
2013-01-01,984,262.0,24.6,2013,1,1,523.0,368.0,520.0,470.3333333333333,363.4,24.4,8866.96
2013-02-01,1114,395.2,24.3,2013,2,1,984.0,523.0,368.0,625.0,262.0,24.6,6445.200000000001
2013-03-01,1204,85.8,25.6,2013,3,1,1114.0,984.0,523.0,873.6666666666666,395.2,24.3,9603.36
2013-04-01,2492,159.4,25.3,2013,4,2,1204.0,1114.0,984.0,1100.6666666666667,85.8,25.6,2196.48
2013-05-01,2555,211.4,25.6,2013,5,2,2492.0,1204.0,1114.0,1603.3333333333333,159.4,25.3,4032.82
2013-06-01,3271,111.4,25.9,2013,6,2,2555.0,2492.0,1204.0,2083.6666666666665,211.4,25.6,5411.84
2013-07-01,2204,174.6,25.2,2013,7,3,3271.0,2555.0,2492.0,2772.6666666666665,111.4,25.9,2885.2599999999998
